PM2.5,ciswur,ctrstp,dgaca,gcrca,ieno,iesdio,pss,psi,gpc,pd
8.34318476,4.870592917,7.447813151,7.407125417,4.278971705,0.574173415,0.662098067,6.041822497,4.922360544,3.08092037,1.677096567
7.785515434,5.093025413,7.298693046,7.44220067,4.729037092,0.703126741,1.816646629,4.8725555,6.161857744,3.892873406,2.94796896
8.983847993,5.446577215,6.793481411,6.827429393,4.789720955,0.568365299,1.06589108,3.774401475,4.720543362,0.720909033,2.24486583
7.744299728,4.847693774,5.341907207,5.701271607,4.585795536,0.08903847,0.227949428,7.988576691,2.434273221,0.799508423,0.536317748
8.364960411,4.755343037,6.044384682,4.577156154,3.957306204,1.166731478,1.120668614,3.944282465,5.554290232,1.075945852,0.857254409
7.968970441,4.23469605,7.199333186,6.529752572,5.593114553,0.529725949,0.883561673,4.473093743,5.795510089,2.229160228,1.147458044
6.146538929,1.699237877,3.137356753,6.157085022,4.974104601,0.541546902,1.791265266,3.196571996,7.322263653,2.170622413,0.458648573
5.441319645,4.150620016,5.557272574,4.20312068,3.793349649,0.705840471,0.642444428,5.551713649,3.485678407,0.730201901,0.411917427
7.026521008,5.12992,4.866634362,6.738241873,4.949337293,0.287986792,0.691949339,4.944765895,4.211053625,0.950148555,2.503225514
7.376277557,2.737768545,6.429007813,6.006178558,3.611805498,0.566160808,0.742287473,5.011269693,4.204476981,0.786515806,0.433880187
8.438879829,4.400577718,6.309193989,6.522285649,5.679076762,0.386113001,2.107887619,4.164132754,6.657851063,2.456665854,1.976978343
7.117920029,4.67146741,6.05725234,6.277842105,4.670526936,0.213086725,0.507058395,4.563009219,5.888669679,2.065652157,0.878071099
6.849316942,5.192640277,4.335643313,6.176707361,4.844997991,0.085426823,0.185773113,4.931596826,5.355618401,1.009089399,2.571808132
7.610988092,4.297497293,5.759280025,7.773688577,3.056095775,0.771784659,2.412191632,3.952531423,4.128037794,0.756871415,0.592890479
6.106417719,2.97967021,7.789276682,7.433542547,4.399295764,0.584730075,1.911186629,6.486863865,4.582605406,1.732161452,0.786401128
7.943733344,4.415283904,6.683698322,7.570838493,4.784473827,2.652307409,1.256106248,4.693456163,5.469480121,1.581457532,1.062785543
7.159477676,2.714028395,5.928914973,6.113051712,2.252054383,1.085645591,2.65663223,4.43914681,5.870826958,0.973254595,0.970596229
7.459242712,3.777364508,4.448981168,7.292526265,2.332308386,0.259783375,0.729197313,5.330262952,3.789433569,0.491936265,0.637896523
7.254216399,4.666831678,7.548374241,7.017038567,5.494649929,0.071796518,0.425706276,6.696617869,5.031532832,5.872749934,3.5469164
7.064400182,4.877346107,5.890551446,7.281209861,4.411733401,0.213667969,0.304634602,5.418706053,4.742103316,1.407746153,0.49463751
8.594199392,4.870926577,6.835891341,7.556213092,4.047349512,0.500417531,0.627086323,4.223759372,5.609648417,1.860089875,2.168801544
5.981230202,2.154366021,7.540419586,6.040198937,4.262805657,0.678070333,1.962062324,5.463700372,4.405893847,0.94813051,0.388650452
8.332502325,3.677232177,6.503999237,6.331335813,4.589099283,0.516356719,1.775209259,4.766617657,5.731116168,1.444940818,1.753924249
7.834896425,4.270695486,5.828143369,4.09693048,3.957435763,11.3627266,1.700003601,4.476971302,5.974795118,0.921669759,0.650770494
6.697483906,1.93220091,6.74565943,6.000253312,5.854693601,1.359687067,1.189117198,4.910160508,5.796425101,2.005023809,0.57578199
7.891006944,2.851114733,7.775438096,6.956754495,5.029922815,0.526736397,0.866981672,4.152426915,5.749645147,2.080051027,0.591768396
8.438298093,4.049117006,6.54441154,7.174947187,5.274205774,0.724677288,0.970145821,4.069754427,6.50933329,2.18725679,2.039459651
9.041575193,3.71552311,7.167009862,6.565627871,4.881901981,0.795503217,1.23328668,3.815152428,6.324272252,1.610684396,2.729969679
7.843127346,5.024682211,8.145567019,7.692046498,4.752148927,0.862808012,1.60372966,6.443771746,4.812330434,3.540576606,1.318515318
7.136423743,0.873835419,6.697297361,5.930956337,3.378308302,0.333975091,2.992287006,2.678076488,7.42760433,1.820607512,0.163413554
6.700940058,4.612189112,6.61425048,6.988610445,4.730383063,0.482253457,0.679241416,4.557741592,5.028673421,1.796167706,0.62200746
8.713791278,5.244471871,6.727343004,6.995048669,4.517906769,1.4824118,1.43418164,6.458916175,4.617204272,2.145898457,2.849143374
7.72841369,4.61390312,5.95720573,4.93803486,5.663853612,0.057716751,0.052192425,6.169562466,3.967660616,1.071834374,0.580563464
7.690827304,4.140384489,6.774377202,5.093429739,4.088743521,6.734308674,1.462583198,5.004392513,5.294541396,1.010829093,0.601018957
8.916553057,4.896010509,7.556964431,7.23440858,4.838953267,0.855435865,2.158831756,4.794053217,5.185940991,1.444827738,2.252144448
7.532720529,5.096910497,7.138841919,7.13398464,4.640922769,0.327144715,1.651988149,7.955361373,3.851339803,4.568344523,3.265145262
6.661797324,5.199750961,6.262094608,7.286805791,4.721119615,0.89695883,1.157840649,4.926987652,5.966560017,2.176232927,1.910828439
7.324141065,5.127031326,6.499942759,5.735858067,4.09295418,1.110783579,1.008131508,5.09730761,5.305064026,1.741645686,1.356097429
7.869831143,4.129181734,5.868091243,6.589108494,3.588841215,0.437877712,0.322181629,5.192124906,3.44221537,0.527167974,1.148613876
7.894205019,5.036495153,4.351137082,5.213206817,3.725582819,0.731094311,1.508520014,3.890655089,4.356426048,0.678622863,1.239825028
6.312133592,2.71512536,5.663773931,6.094927071,4.402534732,0.308948744,0.475700403,3.762768798,6.286070529,1.570219106,0.435305453
7.492828853,4.175357103,5.415042545,5.912275653,4.40370076,0.224206264,0.547254716,4.302846947,4.14265653,0.853712079,1.100717136
8.212554302,5.330116103,5.705150011,6.677706427,4.613715439,0.4892092,0.737593573,4.913891744,4.644768987,1.411373416,1.57933505
8.360831628,4.956048445,7.600138864,7.635948947,5.137067873,1.302078767,1.293049196,4.467094501,6.000529812,1.749433717,1.762304031
5.624525056,4.637179345,4.891709336,7.465444201,4.826126954,0.773434621,0.483623271,6.055284212,3.992365922,1.28403649,0.208315283
9.047386426,4.493751178,7.347894579,6.531143157,4.531704772,1.568421681,1.746508822,4.012103169,5.444717627,0.785266126,1.775459429
6.888945796,1.899081384,5.250389096,5.465367381,4.141161454,0.640032571,1.240974056,3.85442186,5.025406545,0.731561762,0.337266413
8.788540577,4.313094764,8.218405542,6.7027916,4.187661601,1.326528353,1.88092883,4.11935792,5.948660108,1.081698441,2.054401513
6.506952674,3.249552969,6.801307098,5.721776549,3.371571248,1.212810057,2.357450081,3.93967329,5.174560537,0.799807071,0.650922783
9.021900625,5.063898708,6.075317346,5.829426974,3.882356487,0.471095871,0.511717629,4.626074427,4.228324464,0.939379847,2.486702193
9.098526639,5.172372544,7.329933866,4.895150583,4.068845462,0.571668122,0.745495077,4.292884073,5.19241335,0.883903895,1.526158449
6.059762775,4.918516573,5.432198481,3.884274296,3.65601741,0.248264092,0.231023672,4.77020257,4.076146645,0.95461377,0.243964499
8.208068914,4.22139535,8.330898615,7.061823143,4.220132254,0.316151739,0.555430585,4.196982265,5.700308064,2.508215068,0.939872575
7.686606816,5.298306405,6.761023997,7.470425978,4.311454954,0.473718121,0.639639447,5.632776585,5.300889287,1.938857435,1.278350157
5.039677112,4.132345303,7.109443486,6.342247732,4.246825399,0.120406584,0.086493742,5.803032526,3.729536071,0.591516368,0.173430579
6.89437595,5.346204922,4.806543076,6.743797811,4.681798544,0.225519853,0.337509818,5.895718994,4.239533352,2.900418385,2.028531963
7.328912807,3.645616733,6.116342009,4.723097844,2.529651926,0.230618012,1.502416804,5.484405075,3.887768691,0.607875487,0.904795808
3.110685011,2.347740047,5.37663462,5.977574801,3.494263353,0.026151936,0.021332404,8.067503311,3.532343984,2.032822359,0.058934935
7.83599946,4.395185939,8.326310196,7.256212424,4.407976198,0.318080077,0.8764664,5.877721266,5.038395416,2.0119043,0.585938473
7.675095135,4.334071933,7.600512003,5.774712763,3.531956842,0.772368284,0.600086353,5.157853972,4.36622157,0.830619542,0.207930006
7.86336168,4.576381042,5.787393345,4.875454553,2.71934676,0.082806216,0.095319693,5.831000336,2.436148994,0.295240818,0.461650342
8.677492614,4.451052797,6.96629461,6.880545305,4.39566812,0.743672294,1.791606499,4.469216184,5.502134587,1.810349114,1.189066042
7.150479257,3.911948395,6.460034926,5.453971757,4.216423636,0.418672626,0.237574712,4.798442907,5.721851679,1.03366838,0.69387795
7.216546427,5.210103567,6.565810191,7.294769778,4.006408957,0.238998694,0.971350781,5.311743949,5.336689104,1.888316415,1.819468903
8.49780278,4.144162162,5.764841353,6.310689623,3.761996439,0.556466149,1.085119158,3.843392764,4.998992742,0.858834899,1.329142334
6.956391966,4.978941059,4.650340801,4.0902522,4.268117564,0.102416302,0.295243728,4.190690376,5.649165468,0.848704079,3.78594909
7.925386518,5.14308358,7.273404366,7.653472005,5.561048771,0.457931185,0.553092181,5.340862223,5.465191006,2.155832112,1.988364849
8.71141082,5.403375079,7.192568785,6.865071517,3.898378581,1.592885475,3.585015565,6.123178079,5.267262621,3.378025367,2.539274976
5.573170348,4.943668412,6.827734152,7.370607621,5.239807935,0.007920685,0.003739596,6.935563308,2.483683832,1.768753023,0.876311969
8.499184903,4.976312913,7.057867428,6.930465909,4.559235999,1.054126689,1.533096271,5.12964499,4.999964941,1.092664314,1.87982598
6.658644846,3.886992443,4.603410466,5.252346902,4.496525532,0.479305082,0.521793817,5.529179909,4.357798565,1.248166892,0.496439593
6.67607605,5.189156108,7.164246102,7.196930992,4.756553924,0.767807547,1.472168001,5.831702687,4.724260595,2.226121561,1.626821781
7.594736524,4.760571903,6.033665402,5.456136186,15.94460828,0.492820943,2.2834327,6.168026075,5.318617631,3.494303637,2.585291536
8.297920277,5.280994927,7.188270698,7.683911119,4.962681841,1.450603129,3.730109967,5.323961918,5.890328137,4.899814283,2.233084935
8.274347719,4.08153232,4.881961915,5.897915501,4.012044761,0.706240016,1.144848765,5.055239751,4.214198977,0.965176615,1.527369469
8.935747006,4.492437105,7.35130272,7.296932167,5.424429105,2.737055399,3.118876352,4.712843959,5.237524753,1.09667141,2.393214521
7.506637226,2.277539187,7.947120136,7.769743937,4.043782836,0.484478247,0.594889749,3.068246735,7.684093439,3.286172406,0.198812861
7.314367726,4.280220095,6.637676456,6.835409377,4.940915977,0.386463582,0.848197752,5.437289073,4.405379153,1.125263287,0.545841647
7.964341764,5.233414072,7.03577388,5.600705656,4.689454655,1.391290062,4.120045271,7.502564887,4.335437976,3.821209598,6.807268474
8.20920766,5.107139695,6.914334438,5.255693868,4.581001863,0.368030452,0.378602882,4.556058877,4.895996781,0.85211388,1.310902837
8.889414391,5.441969962,7.042600636,5.597893314,4.214739373,0.666107388,0.741294135,3.989423106,4.231183874,0.695289135,2.584629666
